,administrativeRegion,infantMortality,lowBirthWeight,maternalMortality,infantHospitalizationsRespiratoryCrisis,pipedWaterAccess,sanitationAccess,toiletAccess,populationLivingInNonUrbanizedSlums,electricityAccess,excessiveHousingDensity,homicideRate,streetRobberies,literacyRate,qualityOfElementaryEducationEarlyYears,qualityOfElementaryEducationLateYears,highSchoolDropoutRate,mobileOrFixedTelephoneAccess,internetAccess,chronicDiseaseMortality,dengueIncidence,tuberculosisAndHIVMortality,wasteSelectiveCollection,degradationOfGreenAreas,urbanMobility,policeActionHomicides,averageTravelTime,politicalParticipation,teenagePregnancy,childLabor,culturalAccessIndex,violenceAgainstWomen,homicidesOfBlackYouth,familyVulnerability,populationWithHigherEducation,blacksAndIndigenousWithHigherEducation,attendanceToHigherEducation
22,XXIV BARRA DA TIJUCA,1.941747572815534,0.08972468043264503,87.07353756035779,2.73,0.9327,0.752,0.9837,0.163,0.9572,0.0383,13.422126902861354,5.65,0.457,5.672727272727273,5.533333333333334,5.7,0.984,0.7343,154.9061233686449,10.407294506291377,8.975377547594432,0.06236020197369557,-0.1272,0.7003886006056718,1.7504336083796124,47.11,0.2784649010485134,0.035126504544338,0.33,40.45,255.86348912377107,1.77452269613999,0.0109,0.485,0.1947,0.481
23,XXV PAVUNA,3.604642779900512,0.10887428101889893,231.95876288659792,11.96,0.9915,0.9086,0.9887,0.2278,0.89,0.0921,18.67699807962148,7.61,0.4241,5.085000000000001,4.614285714285714,4.8125,0.9346,0.3716,241.20046326602548,5.009743951986614,14.845818986365792,0,-0.0242,0.6286581774123259,20.592587626249323,28.41,0.2709615187224303,0.14643150123051682,3.35,19.44,134.09126826394908,6.225666026540493,0.0325,0.0576,0.045,0.1374
24,XXVI GUARATIBA,2.197457228064668,0.09117281392457521,136.01741022850925,10.84,0.89,0.5343,0.994,0.2254,0.8425,0.0916,17.869616777945645,2.96,0.4291,5.459999999999999,5.045454545454546,2.4,0.9375,0.3007,253.7749016622256,332.2124210081713,12.183829621326575,0.002933714172312844,-0.0114,0.22000747274883442,2.4367659242653152,28.62,0.23405808483305102,0.10236220472440945,8.93,24.42,590.5096089802947,0.8122553080884384,0.0317,0.0545,0.032,0.0627
25,XXVII ROCINHA,3.416078342063311,0.11484593837535013,124.58471760797342,2.73,0.9869,0.842,0.9826,0.9999,0.9105,0.1096,5.76734529096257,0.16,0.3486,5.2,5.56,0,0.9239,0.4034,107.3403129043642,5.76734529096257,18.743872195628352,0,-0.0238,0.8142626449045505,0,30.71,0.2527771351180533,0.10504201680672269,0,2.15,157.16015917873005,1.4418363227406426,0.0429,0.0192,0.0216,0.0464
26,XXVIII JACAREZINHO,2.272727272727273,0.0821256038647343,145.1378809869376,20.62,0.986,0.9463,0.9766,0.8848,0.8181,0.1589,9.798280843130376,4.98,0.2551,5.3,5.1,0,0.8913,0.2911,76.58224385974509,2.6427759718808637,21.14220777504691,0,-0.0056,0.926662966780306,22.86265530063754,20.86,0.2527771351180533,0.18840579710144928,0,1.78,134.56305691232382,1.3064374457507169,0.035,0.0113,0.0144,0.081
27,XXIX COMPLEXO DO ALEMÃO,2.6427061310782243,0.13615023474178403,252.84450063211128,7.71,0.9969,0.9453,0.9903,0.2309,0.66,0.0888,39.04950609606178,4.08,0.4146,4.55,4.4,0.8999999999999999,0.9167,0.3045,35.791514428454256,5.785112014231376,5.785112014231376,0,-0.0833,0.3053092865510608,8.758503046707846,25.68,0.2527771351180533,0.15023474178403756,14.46,56.82,111.35811016528547,2.0853578682637726,0.0409,0.0164,0.0145,0.0389
28,XXX MARÉ,2.943454686289698,0.09248554913294797,287.35632183908046,7.42,0.9986,0.9255,0.9515,0.1014,0.9308,0.113,18.26772763408628,7.51,0.4545,5.0888888888888895,4.4,5.166666666666667,0.9211,0.3103,84.00564264316623,0,13.10010017723665,0,0.01,0.4877,6.447433282618688,27.79,0.2527771351180533,0,0,19.58,122.85942310767832,3.9400981171558644,0.0404,0.0184,0.0122,0.0761
29,XXXI VIGÁRIO GERAL,2.4216161101198064,0.09931506849315068,114.60004584001834,12.59,0.9919,0.9051,0.9947,0.1484,0.9207,0.0879,19.204836413501013,4.66,0.4645,5.316666666666666,4.9125,11.766666666666666,0.9481,0.4171,214.32873647734294,4.406224526514456,16.89052735163875,0,-0.0514,0.684,9.884865612667703,27.37,0.2929628655070293,0.1266255989048597,3.67,1.78,169.05367535536053,2.4699502466937897,0.0275,0.0664,0.0474,0.1618
30,XXXIII REALENGO,2.4285714285714284,0.08193523214982443,161.29032258064515,6.06,0.9925,0.8937,0.9929,0.0905,0.96,0.0701,18.929573755380524,5.74,0.5161,5.694117647058823,5.178571428571429,1.5090909090909093,0.9538,0.4622,210.32798019411518,9.187195674143293,10.287811823576373,0.01308908679478983,-0.0195,0.4919,8.641761931804153,33.45,0.26273580704987337,0.09824561403508772,4.53,37.71,221.39371044336352,4.526637202373604,0.0227,0.1058,0.0793,0.2111
31,XXXIV CIDADE DE DEUS,2.3640661938534278,0.11638591117917305,327.8688524590164,8.03,0.9954,0.9606,0.9887,0.1223,0.8976,0.1093,11.493244967886502,4.81,0.3519,4.54,4.733333333333333,0.8,0.9279,0.3728,261.787635568597,2.738600575106121,32.86320690127345,0,-0.04,0.5582637272353828,2.2179946429254653,30,0.2689685111351598,0.1807044410413476,30.12,4.56,197.8047949736256,2.822902272814229,0.0342,0.0328,0.0237,0.0805
